

 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Jan 2027,Feb 2027,Mar 2027,Apr 2027,May 2027,Jun 2027,Jul 2027,Aug 2027,Sep 2027,Oct 2027,Nov 2027,Dec 2027,Jan 2028,Feb 2028,Mar 2028,Apr 2028,May 2028,Jun 2028,Jul 2028,Aug 2028,Sep 2028,Oct 2028,Nov 2028,Dec 2028,Jan 2029,Feb 2029,Mar 2029,Apr 2029,May 2029,Jun 2029,Jul 2029,Aug 2029,Sep 2029
,01,Building Construction & Site Cost Inside Five Feet of Building Perimeter,"257,630,000.00","2,978,181.00","257,630,000.00","474,431.69","257,630,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,928.29","188,032.34","40,254.14","61,189.65","122,445.43","57,581.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,420,664.70","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","10,201,539.10","7,897,964.90",0.00,0.00,0.00,0.31
 ,01.101,Prime General Contractor (Less Code 2 and 4 Costs),"248,000,000.00","2,943,181.00","248,000,000.00","466,263.86","248,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"187,349.64","40,254.14","60,455.18","122,407.25","55,797.65",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,255,259.42","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","9,819,834.38","7,602,451.60",0.00,0.00,0.00,0.00
 ,01.102,Compensable Construction Delay,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.103,Approved Change Orders,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.104,Estimated Change Orders,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.105,Contractor Claims,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.106,Project Managers Pending List,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.107,Other Building/Specialty Contractors (Not Under Prime),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.108,Facilites Management/Engineering Work Orders,"150,000.00","20,000.00","150,000.00","8,167.83","150,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,928.29",682.70,0.00,734.47,38.18,"1,784.19",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,438.18","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","5,626.58","4,356.06",0.00,0.00,0.00,0.01
 ,01.109,Telecommunications (ACT),"1,025,000.00","15,000.00","1,025,000.00",0.00,"1,025,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"17,620.39","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","40,662.46","31,480.61",0.00,0.00,0.00,(0.04)
 ,01.110,Data Processing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.111,"Lock Keying, FM Lock Shop Work Orders","250,000.00",0.00,"250,000.00",0.00,"250,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,297.66","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","7,678.20",0.00,0.00,0.00,0.06
 ,01.112,Builders Risk Insurance,"600,000.00",0.00,"600,000.00",0.00,"600,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,314.37","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","18,427.67",0.00,0.00,0.00,0.12
 ,01.113,"Group 1 Equipment, Owner Purchased Contractor Installed","55,000.00",0.00,"55,000.00",0.00,"55,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,945.48,"2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","2,181.89","1,689.20",0.00,0.00,0.00,(0.04)
 ,01.114,"Security Alarms, Video Security, Security Manpower","250,000.00",0.00,"250,000.00",0.00,"250,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,297.66","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","9,917.67","7,678.20",0.00,0.00,0.00,0.06
 ,01.115,Building Signage,"200,000.00",0.00,"200,000.00",0.00,"200,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,438.12","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","7,934.14","6,142.56",0.00,0.00,0.00,(0.04)
 ,01.116,University Controlled Insurance Program (UCIP),"5,500,000.00",0.00,"5,500,000.00",0.00,"5,500,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"94,548.43","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","218,188.80","168,920.34",0.00,0.00,0.00,0.03
 ,01.117,Adjacent Departmental Impacts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.118,Infection Control,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.119,"Utility Shutdowns, Temporary Utility Services and Facilities","600,000.00",0.00,"600,000.00",0.00,"600,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,314.37","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","23,802.41","18,427.67",0.00,0.00,0.00,0.12
 ,01.199,Other Building Construction,"1,000,000.00",0.00,"1,000,000.00",0.00,"1,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"17,190.62","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","39,670.69","30,712.79",0.00,0.00,0.00,0.03
,02,"Exterior Utility Work, Outside Five Feet of Building Perimeter","(1,000,000.00)",0.00,0.00,0.00,"(1,000,000.00)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"(17,212.65)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(29,470.80)",0.00,0.00,0.00,(0.07)
 ,02.201,Other Site Utility/Specialty Contractors NOT Under Prime,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,02.202,"Prime General Contractor, Site Utility Component",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,02.299,Other Exterior Utilities,"(1,000,000.00)",0.00,0.00,0.00,"(1,000,000.00)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"(17,212.65)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(39,721.52)","(29,470.80)",0.00,0.00,0.00,(0.07)
,03,"Group 2 & 3 Furnishings & Equipment, Owner Furnished Owner Installed (OFOI)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
