

 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Jan 2027,Feb 2027,Mar 2027,Apr 2027,May 2027,Jun 2027,Jul 2027,Aug 2027,Sep 2027,Oct 2027,Nov 2027,Dec 2027,Jan 2028,Feb 2028,Mar 2028,Apr 2028,May 2028,Jun 2028,Jul 2028,Aug 2028,Sep 2028,Oct 2028,Nov 2028,Dec 2028,Jan 2029,Feb 2029,Mar 2029,Apr 2029,May 2029,Jun 2029,Jul 2029,Aug 2029,Sep 2029,Oct 2029,Nov 2029,Dec 2029,Jan 2030,Feb 2030,Mar 2030,Apr 2030,May 2030,Jun 2030,Jul 2030,Aug 2030,Sep 2030,Oct 2030,Nov 2030,Dec 2030,Jan 2031,Feb 2031,Mar 2031
,01,Building Construction & Site Cost Inside Five Feet of Building Perimeter,"1,220,355,000.00","2,986,480.11","1,220,355,000.00","2,327,832.63","1,220,355,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,610.30","10,091.33","840,035.00","1,476,096.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"20,244,213.83","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","33,740,365.07","16,870,176.02",0.00,0.00,0.00,0.00,0.00,0.07
 ,01.101,Prime General Contractor (Less Code 2 and 4 Costs),"1,179,050,000.00","2,927,706.00","1,179,050,000.00","2,314,451.00","1,179,050,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"838,355.00","1,476,096.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"19,557,926.72","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","32,596,552.92","16,298,270.17",0.00,0.00,0.00,0.00,0.00,(0.09)
 ,01.102,Compensable Construction Delay,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.103,Approved Change Orders,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.104,Estimated Change Orders,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.105,Contractor Claims,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.106,Project Managers Pending List,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.107,Other Building/Specialty Contractors (Not Under Prime),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.108,Facilites Management/Engineering Work Orders,"3,400,000.00","45,000.00","3,400,000.00","4,607.52","3,400,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,610.30","2,997.22",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"56,433.10","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","94,055.19","47,027.58",0.00,0.00,0.00,0.00,0.00,0.15
 ,01.109,Telecommunications (ACT),"12,255,000.00","5,000.00","12,255,000.00",0.00,"12,255,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"203,684.16","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","339,473.69","169,736.78",0.00,0.00,0.00,0.00,0.00,(0.09)
 ,01.110,Data Processing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.111,"Lock Keying, FM Lock Shop Work Orders","100,000.00",0.00,"100,000.00",0.00,"100,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,662.05","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","2,770.08","1,385.04",0.00,0.00,0.00,0.00,0.00,0.11
 ,01.112,Builders Risk Insurance,"2,000,000.00",0.00,"2,000,000.00",0.00,"2,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"33,240.99","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","55,401.66","27,700.82",0.00,0.00,0.00,0.00,0.00,0.09
 ,01.113,"Group 1 Equipment, Owner Purchased Contractor Installed",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.114,"Security Alarms, Video Security, Security Manpower",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.115,Building Signage,"300,000.00",0.00,"300,000.00",0.00,"300,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,986.15","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","8,310.25","4,155.12",0.00,0.00,0.00,0.00,0.00,(0.02)
 ,01.116,University Controlled Insurance Program (UCIP),"23,000,000.00",0.00,"23,000,000.00",0.00,"23,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"382,271.37","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","637,119.12","318,559.44",0.00,0.00,0.00,0.00,0.00,(0.01)
 ,01.117,Adjacent Departmental Impacts,"9,500.00","8,774.11","9,500.00","8,774.11","9,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,094.11","1,680.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.06,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,10.05,0.00,0.00,0.00,0.00,0.00,(0.07)
 ,01.118,Infection Control,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.119,"Utility Shutdowns, Temporary Utility Services and Facilities","240,500.00",0.00,"240,500.00",0.00,"240,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,997.23","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","6,662.05","3,331.02",0.00,0.00,0.00,0.00,0.00,0.00
